happy,wltdffr,happy_group,wealth
9,2,High,Somewhat Fair
8,3,High,Very Unfair
7,-2,High,Somewhat Fair
8,0,High,Fair
5,1,Medium,Somewhat Fair
10,2,High,Somewhat Fair
5,4,Medium,Very Unfair
7,-4,High,Very Unfair
9,-2,High,Somewhat Fair
9,0,High,Fair
9,3,High,Very Unfair
7,2,High,Somewhat Fair
8,0,High,Fair
8,1,High,Somewhat Fair
9,3,High,Very Unfair
8,3,High,Very Unfair
8,-3,High,Very Unfair
6,-2,Medium,Somewhat Fair
10,3,High,Very Unfair
8,3,High,Very Unfair
10,2,High,Somewhat Fair
10,4,High,Very Unfair
9,2,High,Somewhat Fair
8,-3,High,Very Unfair
10,-3,High,Very Unfair
10,3,High,Very Unfair
8,4,High,Very Unfair
8,-3,High,Very Unfair
8,0,High,Fair
7,0,High,Fair
9,4,High,Very Unfair
7,2,High,Somewhat Fair
8,1,High,Somewhat Fair
8,-2,High,Somewhat Fair
7,3,High,Very Unfair
10,0,High,Fair
9,2,High,Somewhat Fair
8,-2,High,Somewhat Fair
7,3,High,Very Unfair
8,3,High,Very Unfair
9,4,High,Very Unfair
9,2,High,Somewhat Fair
8,-3,High,Very Unfair
5,-3,Medium,Very Unfair
9,2,High,Somewhat Fair
8,2,High,Somewhat Fair
7,3,High,Very Unfair
9,3,High,Very Unfair
6,3,Medium,Very Unfair
8,3,High,Very Unfair
3,3,Low,Very Unfair
7,1,High,Somewhat Fair
9,-2,High,Somewhat Fair
7,-1,High,Somewhat Fair
6,2,Medium,Somewhat Fair
7,0,High,Fair
7,-2,High,Somewhat Fair
8,4,High,Very Unfair
7,2,High,Somewhat Fair
7,3,High,Very Unfair
9,4,High,Very Unfair
8,-3,High,Very Unfair
8,1,High,Somewhat Fair
10,0,High,Fair
4,-3,Medium,Very Unfair
8,-3,High,Very Unfair
7,4,High,Very Unfair
10,-3,High,Very Unfair
5,4,Medium,Very Unfair
10,2,High,Somewhat Fair
7,3,High,Very Unfair
10,4,High,Very Unfair
7,4,High,Very Unfair
8,-2,High,Somewhat Fair
7,-3,High,Very Unfair
6,-4,Medium,Very Unfair
9,3,High,Very Unfair
10,-2,High,Somewhat Fair
10,3,High,Very Unfair
7,4,High,Very Unfair
10,2,High,Somewhat Fair
9,3,High,Very Unfair
8,-1,High,Somewhat Fair
9,3,High,Very Unfair
9,3,High,Very Unfair
4,1,Medium,Somewhat Fair
10,0,High,Fair
9,0,High,Fair
9,3,High,Very Unfair
7,3,High,Very Unfair
8,3,High,Very Unfair
9,-2,High,Somewhat Fair
7,3,High,Very Unfair
9,-3,High,Very Unfair
8,-3,High,Very Unfair
7,0,High,Fair
9,0,High,Fair
8,-1,High,Somewhat Fair
8,3,High,Very Unfair
10,2,High,Somewhat Fair
10,0,High,Fair
9,0,High,Fair
7,3,High,Very Unfair
6,-3,Medium,Very Unfair
8,2,High,Somewhat Fair
9,4,High,Very Unfair
8,3,High,Very Unfair
5,0,Medium,Fair
8,-3,High,Very Unfair
7,2,High,Somewhat Fair
9,0,High,Fair
9,1,High,Somewhat Fair
10,-3,High,Very Unfair
5,-1,Medium,Somewhat Fair
10,-3,High,Very Unfair
9,3,High,Very Unfair
6,-2,Medium,Somewhat Fair
8,0,High,Fair
10,2,High,Somewhat Fair
9,3,High,Very Unfair
8,2,High,Somewhat Fair
7,-2,High,Somewhat Fair
8,3,High,Very Unfair
9,2,High,Somewhat Fair
7,-2,High,Somewhat Fair
8,2,High,Somewhat Fair
7,3,High,Very Unfair
8,2,High,Somewhat Fair
10,3,High,Very Unfair
7,3,High,Very Unfair
3,4,Low,Very Unfair
8,3,High,Very Unfair
6,-2,Medium,Somewhat Fair
8,2,High,Somewhat Fair
9,1,High,Somewhat Fair
8,-3,High,Very Unfair
6,0,Medium,Fair
6,2,Medium,Somewhat Fair
9,1,High,Somewhat Fair
6,-3,Medium,Very Unfair
8,3,High,Very Unfair
10,3,High,Very Unfair
8,3,High,Very Unfair
10,-1,High,Somewhat Fair
8,3,High,Very Unfair
8,4,High,Very Unfair
5,3,Medium,Very Unfair
10,2,High,Somewhat Fair
8,1,High,Somewhat Fair
8,4,High,Very Unfair
3,3,Low,Very Unfair
8,3,High,Very Unfair
7,4,High,Very Unfair
7,2,High,Somewhat Fair
10,2,High,Somewhat Fair
8,0,High,Fair
7,2,High,Somewhat Fair
6,3,Medium,Very Unfair
9,0,High,Fair
8,3,High,Very Unfair
0,-4,Low,Very Unfair
9,2,High,Somewhat Fair
9,-3,High,Very Unfair
8,1,High,Somewhat Fair
8,-4,High,Very Unfair
8,-2,High,Somewhat Fair
7,4,High,Very Unfair
8,3,High,Very Unfair
7,-2,High,Somewhat Fair
9,3,High,Very Unfair
8,4,High,Very Unfair
8,0,High,Fair
8,-2,High,Somewhat Fair
8,4,High,Very Unfair
8,-1,High,Somewhat Fair
8,0,High,Fair
6,3,Medium,Very Unfair
1,0,Low,Fair
8,1,High,Somewhat Fair
8,4,High,Very Unfair
8,2,High,Somewhat Fair
5,-3,Medium,Very Unfair
7,2,High,Somewhat Fair
10,4,High,Very Unfair
10,-2,High,Somewhat Fair
7,2,High,Somewhat Fair
8,3,High,Very Unfair
6,4,Medium,Very Unfair
6,1,Medium,Somewhat Fair
9,2,High,Somewhat Fair
10,2,High,Somewhat Fair
8,-1,High,Somewhat Fair
7,-1,High,Somewhat Fair
5,-4,Medium,Very Unfair
8,1,High,Somewhat Fair
9,4,High,Very Unfair
8,0,High,Fair
7,0,High,Fair
7,3,High,Very Unfair
9,2,High,Somewhat Fair
5,-3,Medium,Very Unfair
6,4,Medium,Very Unfair
8,3,High,Very Unfair
7,3,High,Very Unfair
9,3,High,Very Unfair
10,3,High,Very Unfair
7,1,High,Somewhat Fair
9,-4,High,Very Unfair
7,1,High,Somewhat Fair
8,-1,High,Somewhat Fair
2,-1,Low,Somewhat Fair
9,2,High,Somewhat Fair
7,0,High,Fair
8,-4,High,Very Unfair
7,-2,High,Somewhat Fair
7,-3,High,Very Unfair
6,4,Medium,Very Unfair
8,0,High,Fair
4,3,Medium,Very Unfair
7,1,High,Somewhat Fair
8,-2,High,Somewhat Fair
8,-3,High,Very Unfair
8,1,High,Somewhat Fair
4,3,Medium,Very Unfair
10,0,High,Fair
8,3,High,Very Unfair
9,-2,High,Somewhat Fair
9,1,High,Somewhat Fair
8,3,High,Very Unfair
9,2,High,Somewhat Fair
6,-4,Medium,Very Unfair
8,3,High,Very Unfair
10,3,High,Very Unfair
7,-3,High,Very Unfair
9,2,High,Somewhat Fair
5,0,Medium,Fair
9,3,High,Very Unfair
8,2,High,Somewhat Fair
8,0,High,Fair
4,4,Medium,Very Unfair
9,3,High,Very Unfair
6,-3,Medium,Very Unfair
8,1,High,Somewhat Fair
10,-1,High,Somewhat Fair
8,3,High,Very Unfair
8,3,High,Very Unfair
6,2,Medium,Somewhat Fair
7,4,High,Very Unfair
9,0,High,Fair
8,4,High,Very Unfair
8,2,High,Somewhat Fair
8,-3,High,Very Unfair
9,-1,High,Somewhat Fair
8,4,High,Very Unfair
7,4,High,Very Unfair
5,3,Medium,Very Unfair
7,-4,High,Very Unfair
7,3,High,Very Unfair
7,-3,High,Very Unfair
10,4,High,Very Unfair
9,2,High,Somewhat Fair
8,3,High,Very Unfair
9,3,High,Very Unfair
8,-2,High,Somewhat Fair
9,3,High,Very Unfair
7,-1,High,Somewhat Fair
4,3,Medium,Very Unfair
9,-2,High,Somewhat Fair
3,4,Low,Very Unfair
10,3,High,Very Unfair
9,-3,High,Very Unfair
5,2,Medium,Somewhat Fair
8,1,High,Somewhat Fair
8,4,High,Very Unfair
9,-2,High,Somewhat Fair
9,2,High,Somewhat Fair
8,3,High,Very Unfair
10,4,High,Very Unfair
10,3,High,Very Unfair
9,-2,High,Somewhat Fair
7,2,High,Somewhat Fair
8,3,High,Very Unfair
9,2,High,Somewhat Fair
7,0,High,Fair
8,3,High,Very Unfair
7,2,High,Somewhat Fair
7,3,High,Very Unfair
7,2,High,Somewhat Fair
3,-4,Low,Very Unfair
2,3,Low,Very Unfair
6,2,Medium,Somewhat Fair
9,3,High,Very Unfair
9,3,High,Very Unfair
4,4,Medium,Very Unfair
7,-3,High,Very Unfair
8,0,High,Fair
10,3,High,Very Unfair
5,2,Medium,Somewhat Fair
9,-3,High,Very Unfair
7,3,High,Very Unfair
10,3,High,Very Unfair
7,3,High,Very Unfair
10,2,High,Somewhat Fair
8,4,High,Very Unfair
10,3,High,Very Unfair
9,-3,High,Very Unfair
10,-1,High,Somewhat Fair
7,4,High,Very Unfair
9,4,High,Very Unfair
9,2,High,Somewhat Fair
9,-3,High,Very Unfair
10,0,High,Fair
8,-3,High,Very Unfair
5,4,Medium,Very Unfair
10,4,High,Very Unfair
8,0,High,Fair
9,-1,High,Somewhat Fair
9,2,High,Somewhat Fair
7,-3,High,Very Unfair
9,2,High,Somewhat Fair
9,1,High,Somewhat Fair
7,1,High,Somewhat Fair
5,-1,Medium,Somewhat Fair
10,2,High,Somewhat Fair
9,2,High,Somewhat Fair
10,1,High,Somewhat Fair
8,2,High,Somewhat Fair
10,-1,High,Somewhat Fair
8,1,High,Somewhat Fair
9,-2,High,Somewhat Fair
10,4,High,Very Unfair
9,-2,High,Somewhat Fair
10,3,High,Very Unfair
8,4,High,Very Unfair
10,-3,High,Very Unfair
9,-2,High,Somewhat Fair
9,3,High,Very Unfair
2,-1,Low,Somewhat Fair
8,3,High,Very Unfair
8,4,High,Very Unfair
7,3,High,Very Unfair
9,2,High,Somewhat Fair
7,3,High,Very Unfair
8,-1,High,Somewhat Fair
10,4,High,Very Unfair
9,3,High,Very Unfair
6,3,Medium,Very Unfair
10,0,High,Fair
7,-2,High,Somewhat Fair
8,3,High,Very Unfair
9,0,High,Fair
9,2,High,Somewhat Fair
7,2,High,Somewhat Fair
9,1,High,Somewhat Fair
10,3,High,Very Unfair
7,-4,High,Very Unfair
7,3,High,Very Unfair
8,2,High,Somewhat Fair
10,3,High,Very Unfair
9,2,High,Somewhat Fair
7,1,High,Somewhat Fair
8,0,High,Fair
9,4,High,Very Unfair
7,-3,High,Very Unfair
8,3,High,Very Unfair
7,-2,High,Somewhat Fair
7,3,High,Very Unfair
5,4,Medium,Very Unfair
6,2,Medium,Somewhat Fair
8,-1,High,Somewhat Fair
8,2,High,Somewhat Fair
5,3,Medium,Very Unfair
10,3,High,Very Unfair
6,2,Medium,Somewhat Fair
10,4,High,Very Unfair
9,1,High,Somewhat Fair
10,3,High,Very Unfair
9,4,High,Very Unfair
10,4,High,Very Unfair
8,0,High,Fair
7,-2,High,Somewhat Fair
9,2,High,Somewhat Fair
8,2,High,Somewhat Fair
7,-3,High,Very Unfair
3,-4,Low,Very Unfair
7,3,High,Very Unfair
8,-2,High,Somewhat Fair
8,3,High,Very Unfair
9,2,High,Somewhat Fair
8,-2,High,Somewhat Fair
8,-3,High,Very Unfair
10,-4,High,Very Unfair
4,3,Medium,Very Unfair
6,-3,Medium,Very Unfair
10,-2,High,Somewhat Fair
5,4,Medium,Very Unfair
8,3,High,Very Unfair
8,4,High,Very Unfair
8,1,High,Somewhat Fair
9,0,High,Fair
7,3,High,Very Unfair
8,-3,High,Very Unfair
10,3,High,Very Unfair
9,3,High,Very Unfair
7,1,High,Somewhat Fair
8,-1,High,Somewhat Fair
5,3,Medium,Very Unfair
5,-4,Medium,Very Unfair
8,3,High,Very Unfair
10,-2,High,Somewhat Fair
9,1,High,Somewhat Fair
10,4,High,Very Unfair
10,-3,High,Very Unfair
9,-1,High,Somewhat Fair
6,-4,Medium,Very Unfair
4,0,Medium,Fair
8,4,High,Very Unfair
6,2,Medium,Somewhat Fair
4,0,Medium,Fair
8,0,High,Fair
8,2,High,Somewhat Fair
7,4,High,Very Unfair
8,-4,High,Very Unfair
7,3,High,Very Unfair
8,1,High,Somewhat Fair
8,3,High,Very Unfair
8,-3,High,Very Unfair
7,2,High,Somewhat Fair
9,3,High,Very Unfair
8,-1,High,Somewhat Fair
9,3,High,Very Unfair
8,-2,High,Somewhat Fair
5,3,Medium,Very Unfair
9,3,High,Very Unfair
10,0,High,Fair
3,3,Low,Very Unfair
9,2,High,Somewhat Fair
9,0,High,Fair
6,0,Medium,Fair
8,-3,High,Very Unfair
6,1,Medium,Somewhat Fair
9,3,High,Very Unfair
7,4,High,Very Unfair
8,3,High,Very Unfair
9,3,High,Very Unfair
10,4,High,Very Unfair
9,0,High,Fair
8,3,High,Very Unfair
9,-1,High,Somewhat Fair
7,1,High,Somewhat Fair
8,0,High,Fair
6,4,Medium,Very Unfair
10,4,High,Very Unfair
8,3,High,Very Unfair
5,3,Medium,Very Unfair
9,4,High,Very Unfair
7,2,High,Somewhat Fair
9,-3,High,Very Unfair
8,0,High,Fair
8,3,High,Very Unfair
7,3,High,Very Unfair
9,-2,High,Somewhat Fair
8,-1,High,Somewhat Fair
9,-2,High,Somewhat Fair
4,4,Medium,Very Unfair
8,2,High,Somewhat Fair
8,2,High,Somewhat Fair
7,3,High,Very Unfair
8,-2,High,Somewhat Fair
8,2,High,Somewhat Fair
8,0,High,Fair
7,2,High,Somewhat Fair
8,3,High,Very Unfair
10,-1,High,Somewhat Fair
7,2,High,Somewhat Fair
9,0,High,Fair
6,2,Medium,Somewhat Fair
9,2,High,Somewhat Fair
8,-3,High,Very Unfair
8,4,High,Very Unfair
7,3,High,Very Unfair
9,3,High,Very Unfair
8,1,High,Somewhat Fair
9,-2,High,Somewhat Fair
7,3,High,Very Unfair
8,-4,High,Very Unfair
9,0,High,Fair
10,-3,High,Very Unfair
9,2,High,Somewhat Fair
9,0,High,Fair
8,0,High,Fair
8,3,High,Very Unfair
3,-2,Low,Somewhat Fair
10,3,High,Very Unfair
9,4,High,Very Unfair
8,3,High,Very Unfair
8,-1,High,Somewhat Fair
8,0,High,Fair
8,4,High,Very Unfair
7,3,High,Very Unfair
9,3,High,Very Unfair
7,1,High,Somewhat Fair
6,2,Medium,Somewhat Fair
8,1,High,Somewhat Fair
9,-3,High,Very Unfair
8,3,High,Very Unfair
10,4,High,Very Unfair
8,2,High,Somewhat Fair
8,3,High,Very Unfair
9,3,High,Very Unfair
4,2,Medium,Somewhat Fair
8,2,High,Somewhat Fair
9,0,High,Fair
8,-4,High,Very Unfair
8,2,High,Somewhat Fair
7,2,High,Somewhat Fair
9,3,High,Very Unfair
5,3,Medium,Very Unfair
9,-2,High,Somewhat Fair
7,-1,High,Somewhat Fair
8,-4,High,Very Unfair
9,3,High,Very Unfair
9,-3,High,Very Unfair
7,-2,High,Somewhat Fair
7,4,High,Very Unfair
6,3,Medium,Very Unfair
9,3,High,Very Unfair
10,3,High,Very Unfair
4,1,Medium,Somewhat Fair
9,3,High,Very Unfair
6,3,Medium,Very Unfair
7,-4,High,Very Unfair
7,-2,High,Somewhat Fair
8,4,High,Very Unfair
9,-2,High,Somewhat Fair
8,4,High,Very Unfair
7,1,High,Somewhat Fair
8,0,High,Fair
8,3,High,Very Unfair
9,3,High,Very Unfair
8,3,High,Very Unfair
8,-4,High,Very Unfair
8,4,High,Very Unfair
6,3,Medium,Very Unfair
6,-3,Medium,Very Unfair
10,3,High,Very Unfair
6,4,Medium,Very Unfair
9,4,High,Very Unfair
9,3,High,Very Unfair
3,-4,Low,Very Unfair
5,-2,Medium,Somewhat Fair
8,3,High,Very Unfair
8,2,High,Somewhat Fair
9,2,High,Somewhat Fair
8,3,High,Very Unfair
8,3,High,Very Unfair
9,2,High,Somewhat Fair
8,4,High,Very Unfair
9,-1,High,Somewhat Fair
2,3,Low,Very Unfair
10,3,High,Very Unfair
8,3,High,Very Unfair
9,2,High,Somewhat Fair
7,-4,High,Very Unfair
7,4,High,Very Unfair
7,4,High,Very Unfair
9,2,High,Somewhat Fair
8,-2,High,Somewhat Fair
7,3,High,Very Unfair
9,1,High,Somewhat Fair
7,3,High,Very Unfair
9,-1,High,Somewhat Fair
5,3,Medium,Very Unfair
7,-3,High,Very Unfair
7,3,High,Very Unfair
9,-3,High,Very Unfair
3,-3,Low,Very Unfair
9,-4,High,Very Unfair
8,2,High,Somewhat Fair
9,1,High,Somewhat Fair
7,4,High,Very Unfair
8,-3,High,Very Unfair
8,-3,High,Very Unfair
6,2,Medium,Somewhat Fair
9,3,High,Very Unfair
9,-1,High,Somewhat Fair
7,-1,High,Somewhat Fair
8,3,High,Very Unfair
6,3,Medium,Very Unfair
8,2,High,Somewhat Fair
7,4,High,Very Unfair
7,-3,High,Very Unfair
7,3,High,Very Unfair
8,1,High,Somewhat Fair
9,4,High,Very Unfair
8,2,High,Somewhat Fair
8,3,High,Very Unfair
4,-3,Medium,Very Unfair
9,-1,High,Somewhat Fair
8,-3,High,Very Unfair
9,0,High,Fair
9,3,High,Very Unfair
7,2,High,Somewhat Fair
8,3,High,Very Unfair
7,2,High,Somewhat Fair
4,0,Medium,Fair
6,3,Medium,Very Unfair
7,4,High,Very Unfair
5,3,Medium,Very Unfair
6,4,Medium,Very Unfair
9,4,High,Very Unfair
9,3,High,Very Unfair
8,1,High,Somewhat Fair
10,4,High,Very Unfair
9,3,High,Very Unfair
10,-2,High,Somewhat Fair
9,-3,High,Very Unfair
9,2,High,Somewhat Fair
7,3,High,Very Unfair
6,0,Medium,Fair
5,3,Medium,Very Unfair
8,0,High,Fair
8,3,High,Very Unfair
9,-4,High,Very Unfair
5,3,Medium,Very Unfair
8,0,High,Fair
9,2,High,Somewhat Fair
9,-3,High,Very Unfair
8,4,High,Very Unfair
9,2,High,Somewhat Fair
5,0,Medium,Fair
8,2,High,Somewhat Fair
7,0,High,Fair
10,0,High,Fair
9,0,High,Fair
10,-2,High,Somewhat Fair
8,2,High,Somewhat Fair
3,0,Low,Fair
9,3,High,Very Unfair
8,2,High,Somewhat Fair
10,3,High,Very Unfair
8,-3,High,Very Unfair
7,0,High,Fair
7,2,High,Somewhat Fair
10,0,High,Fair
8,2,High,Somewhat Fair
9,3,High,Very Unfair
5,0,Medium,Fair
10,0,High,Fair
6,1,Medium,Somewhat Fair
8,1,High,Somewhat Fair
6,0,Medium,Fair
10,-2,High,Somewhat Fair
8,0,High,Fair
8,-4,High,Very Unfair
9,2,High,Somewhat Fair
7,0,High,Fair
9,0,High,Fair
8,0,High,Fair
8,4,High,Very Unfair
8,-2,High,Somewhat Fair
9,0,High,Fair
10,0,High,Fair
9,2,High,Somewhat Fair
9,1,High,Somewhat Fair
7,0,High,Fair
8,1,High,Somewhat Fair
9,1,High,Somewhat Fair
7,0,High,Fair
9,2,High,Somewhat Fair
10,2,High,Somewhat Fair
10,0,High,Fair
8,0,High,Fair
10,0,High,Fair
5,3,Medium,Very Unfair
9,-1,High,Somewhat Fair
9,0,High,Fair
9,1,High,Somewhat Fair
8,4,High,Very Unfair
9,0,High,Fair
9,0,High,Fair
8,0,High,Fair
6,3,Medium,Very Unfair
8,0,High,Fair
8,2,High,Somewhat Fair
6,0,Medium,Fair
8,0,High,Fair
10,0,High,Fair
10,0,High,Fair
8,2,High,Somewhat Fair
10,0,High,Fair
8,4,High,Very Unfair
8,1,High,Somewhat Fair
10,2,High,Somewhat Fair
9,0,High,Fair
9,0,High,Fair
9,1,High,Somewhat Fair
8,0,High,Fair
9,-3,High,Very Unfair
9,2,High,Somewhat Fair
8,2,High,Somewhat Fair
9,2,High,Somewhat Fair
7,0,High,Fair
8,0,High,Fair
7,-1,High,Somewhat Fair
8,3,High,Very Unfair
9,3,High,Very Unfair
8,0,High,Fair
6,3,Medium,Very Unfair
4,1,Medium,Somewhat Fair
10,1,High,Somewhat Fair
8,4,High,Very Unfair
9,2,High,Somewhat Fair
10,0,High,Fair
7,0,High,Fair
9,2,High,Somewhat Fair
10,0,High,Fair
8,0,High,Fair
10,0,High,Fair
9,0,High,Fair
9,-2,High,Somewhat Fair
8,0,High,Fair
9,3,High,Very Unfair
9,0,High,Fair
9,0,High,Fair
10,1,High,Somewhat Fair
9,0,High,Fair
9,0,High,Fair
9,4,High,Very Unfair
9,0,High,Fair
9,0,High,Fair
8,-1,High,Somewhat Fair
10,2,High,Somewhat Fair
8,0,High,Fair
9,-3,High,Very Unfair
5,4,Medium,Very Unfair
9,0,High,Fair
10,2,High,Somewhat Fair
9,2,High,Somewhat Fair
8,0,High,Fair
7,4,High,Very Unfair
9,2,High,Somewhat Fair
10,-3,High,Very Unfair
9,1,High,Somewhat Fair
10,3,High,Very Unfair
8,2,High,Somewhat Fair
8,-1,High,Somewhat Fair
8,0,High,Fair
9,2,High,Somewhat Fair
7,-1,High,Somewhat Fair
9,0,High,Fair
9,2,High,Somewhat Fair
9,2,High,Somewhat Fair
7,0,High,Fair
8,0,High,Fair
9,0,High,Fair
9,3,High,Very Unfair
5,2,Medium,Somewhat Fair
9,1,High,Somewhat Fair
7,2,High,Somewhat Fair
9,1,High,Somewhat Fair
9,0,High,Fair
8,0,High,Fair
7,2,High,Somewhat Fair
8,-2,High,Somewhat Fair
9,-1,High,Somewhat Fair
9,2,High,Somewhat Fair
7,1,High,Somewhat Fair
9,0,High,Fair
8,1,High,Somewhat Fair
9,3,High,Very Unfair
8,2,High,Somewhat Fair
8,2,High,Somewhat Fair
8,0,High,Fair
7,0,High,Fair
9,1,High,Somewhat Fair
6,2,Medium,Somewhat Fair
7,0,High,Fair
8,0,High,Fair
8,-1,High,Somewhat Fair
8,0,High,Fair
10,-3,High,Very Unfair
9,3,High,Very Unfair
7,2,High,Somewhat Fair
8,1,High,Somewhat Fair
9,0,High,Fair
8,3,High,Very Unfair
8,0,High,Fair
6,2,Medium,Somewhat Fair
9,0,High,Fair
8,2,High,Somewhat Fair
10,0,High,Fair
9,0,High,Fair
9,0,High,Fair
8,0,High,Fair
8,1,High,Somewhat Fair
8,0,High,Fair
10,0,High,Fair
10,4,High,Very Unfair
10,0,High,Fair
9,-2,High,Somewhat Fair
3,1,Low,Somewhat Fair
9,0,High,Fair
10,0,High,Fair
9,0,High,Fair
9,3,High,Very Unfair
5,0,Medium,Fair
8,0,High,Fair
9,0,High,Fair
7,0,High,Fair
8,-3,High,Very Unfair
9,0,High,Fair
8,0,High,Fair
9,-3,High,Very Unfair
8,2,High,Somewhat Fair
7,0,High,Fair
8,1,High,Somewhat Fair
9,-2,High,Somewhat Fair
9,0,High,Fair
9,3,High,Very Unfair
9,0,High,Fair
8,1,High,Somewhat Fair
7,3,High,Very Unfair
9,2,High,Somewhat Fair
9,0,High,Fair
8,0,High,Fair
9,2,High,Somewhat Fair
8,0,High,Fair
8,2,High,Somewhat Fair
8,-4,High,Very Unfair
7,0,High,Fair
9,0,High,Fair
9,0,High,Fair
10,2,High,Somewhat Fair
9,0,High,Fair
10,0,High,Fair
8,0,High,Fair
8,-1,High,Somewhat Fair
9,0,High,Fair
8,4,High,Very Unfair
8,2,High,Somewhat Fair
9,2,High,Somewhat Fair
9,1,High,Somewhat Fair
9,2,High,Somewhat Fair
9,0,High,Fair
10,2,High,Somewhat Fair
9,-1,High,Somewhat Fair
9,0,High,Fair
8,1,High,Somewhat Fair
8,0,High,Fair
10,0,High,Fair
9,0,High,Fair
7,1,High,Somewhat Fair
9,2,High,Somewhat Fair
10,2,High,Somewhat Fair
7,-4,High,Very Unfair
8,4,High,Very Unfair
10,3,High,Very Unfair
9,3,High,Very Unfair
9,3,High,Very Unfair
9,0,High,Fair
10,0,High,Fair
8,2,High,Somewhat Fair
8,2,High,Somewhat Fair
10,0,High,Fair
10,0,High,Fair
10,0,High,Fair
9,3,High,Very Unfair
9,0,High,Fair
10,0,High,Fair
10,0,High,Fair
9,4,High,Very Unfair
8,-2,High,Somewhat Fair
9,0,High,Fair
8,0,High,Fair
8,0,High,Fair
9,3,High,Very Unfair
9,0,High,Fair
10,0,High,Fair
5,0,Medium,Fair
8,0,High,Fair
8,-1,High,Somewhat Fair
8,0,High,Fair
8,0,High,Fair
8,1,High,Somewhat Fair
8,2,High,Somewhat Fair
8,2,High,Somewhat Fair
8,2,High,Somewhat Fair
7,3,High,Very Unfair
9,3,High,Very Unfair
9,0,High,Fair
9,3,High,Very Unfair
9,-4,High,Very Unfair
9,0,High,Fair
8,0,High,Fair
4,0,Medium,Fair
5,-4,Medium,Very Unfair
10,2,High,Somewhat Fair
8,0,High,Fair
7,2,High,Somewhat Fair
8,1,High,Somewhat Fair
10,0,High,Fair
8,1,High,Somewhat Fair
9,0,High,Fair
8,0,High,Fair
9,-2,High,Somewhat Fair
7,0,High,Fair
8,2,High,Somewhat Fair
10,1,High,Somewhat Fair
9,2,High,Somewhat Fair
9,0,High,Fair
10,0,High,Fair
9,4,High,Very Unfair
8,0,High,Fair
8,2,High,Somewhat Fair
6,3,Medium,Very Unfair
9,1,High,Somewhat Fair
8,4,High,Very Unfair
8,0,High,Fair
10,4,High,Very Unfair
6,0,Medium,Fair
10,0,High,Fair
4,4,Medium,Very Unfair
8,0,High,Fair
9,-2,High,Somewhat Fair
9,0,High,Fair
5,0,Medium,Fair
9,0,High,Fair
8,0,High,Fair
8,0,High,Fair
10,1,High,Somewhat Fair
10,1,High,Somewhat Fair
9,4,High,Very Unfair
10,-2,High,Somewhat Fair
9,-2,High,Somewhat Fair
9,1,High,Somewhat Fair
9,2,High,Somewhat Fair
5,2,Medium,Somewhat Fair
9,1,High,Somewhat Fair
8,1,High,Somewhat Fair
8,1,High,Somewhat Fair
7,3,High,Very Unfair
9,0,High,Fair
7,0,High,Fair
9,0,High,Fair
7,-2,High,Somewhat Fair
7,0,High,Fair
9,3,High,Very Unfair
8,1,High,Somewhat Fair
7,1,High,Somewhat Fair
9,0,High,Fair
10,0,High,Fair
8,0,High,Fair
9,0,High,Fair
8,0,High,Fair
7,3,High,Very Unfair
9,0,High,Fair
8,0,High,Fair
8,2,High,Somewhat Fair
9,0,High,Fair
8,1,High,Somewhat Fair
8,3,High,Very Unfair
8,0,High,Fair
9,2,High,Somewhat Fair
9,0,High,Fair
8,0,High,Fair
10,0,High,Fair
8,0,High,Fair
8,0,High,Fair
7,-3,High,Very Unfair
10,0,High,Fair
9,0,High,Fair
3,3,Low,Very Unfair
9,2,High,Somewhat Fair
7,0,High,Fair
7,-2,High,Somewhat Fair
10,0,High,Fair
8,0,High,Fair
8,2,High,Somewhat Fair
8,2,High,Somewhat Fair
9,0,High,Fair
9,0,High,Fair
7,0,High,Fair
4,0,Medium,Fair
8,2,High,Somewhat Fair
10,0,High,Fair
8,0,High,Fair
9,2,High,Somewhat Fair
9,2,High,Somewhat Fair
10,0,High,Fair
6,-2,Medium,Somewhat Fair
8,1,High,Somewhat Fair
8,1,High,Somewhat Fair
8,-1,High,Somewhat Fair
9,0,High,Fair
7,1,High,Somewhat Fair
10,-1,High,Somewhat Fair
7,0,High,Fair
10,2,High,Somewhat Fair
9,1,High,Somewhat Fair
10,0,High,Fair
10,0,High,Fair
9,1,High,Somewhat Fair
9,0,High,Fair
10,1,High,Somewhat Fair
7,0,High,Fair
10,0,High,Fair
7,0,High,Fair
7,4,High,Very Unfair
10,0,High,Fair
8,3,High,Very Unfair
10,0,High,Fair
9,2,High,Somewhat Fair
9,2,High,Somewhat Fair
10,0,High,Fair
8,-2,High,Somewhat Fair
9,0,High,Fair
8,1,High,Somewhat Fair
8,2,High,Somewhat Fair
6,4,Medium,Very Unfair
9,0,High,Fair
10,3,High,Very Unfair
9,3,High,Very Unfair
9,0,High,Fair
8,2,High,Somewhat Fair
9,0,High,Fair
8,0,High,Fair
8,0,High,Fair
9,2,High,Somewhat Fair
9,0,High,Fair
9,-2,High,Somewhat Fair
10,0,High,Fair
9,0,High,Fair
9,-2,High,Somewhat Fair
8,1,High,Somewhat Fair
9,0,High,Fair
10,2,High,Somewhat Fair
5,0,Medium,Fair
8,0,High,Fair
9,0,High,Fair
10,0,High,Fair
4,2,Medium,Somewhat Fair
